place,aliases
Africa,african
"American Midwest, United States, North America",the midwest
"American South, United States, North America",deep south; dirty south; dixie; dixieland; down south
"American West, United States, North America",out west; wild west
"Arabia, Asia",arabian
Arctic,the arctic
"Argentina, South America",argentine
Asia,asian
Atlantic Ocean,the atlantic
"Australia, Oceania",australian; down under
"Boston, Massachusetts, United States, North America",beantown
"Brazil, South America",brazilian
"California, United States, North America",californian
"Canada, North America",canadian
"Caribbean, North America",the caribbean
"Chicago, Illinois, United States, North America",chi town; chi-town; windy city
"China, Asia",chinese
"Colombia, South America",colombian
"Cuba, North America",cuban
"Denmark, Europe",danish
"Detroit, Michigan, United States, North America",motor city; motown
East Asia,far east; orient; the orient
"East Harlem, New York, New York, United States, North America",spanish harlem
"Egypt, Africa",egyptian
"England, United Kingdom, Europe",english; englishman
Europe,european
"France, Europe",french
"Greece, Europe",greek
"Haiti, North America",haitian
"Hawaii, United States, North America",hawaiian
"Hollywood, California, United States, North America",tinseltown
"Houston, Texas, United States, North America",h-town
"India, Asia",hindustan
"Iran, Asia",persia; persian
"Ireland, Europe",irish; irishman
"Istanbul, Turkey, Asia",constantinople
"Italy, Europe",italian
"Jamaica, North America",jamaican
"Japan, Asia",japanese
"Kentucky, United States, North America",kentuckian
"Korea, Asia",korean
"Las Vegas Strip, Nevada, United States, North America",the strip
"Las Vegas, Nevada, United States, North America",sin city
"Los Angeles, California, United States, North America",l.a.; la la land
"Louisiana Bayou, Louisiana, United States, North America",blue bayou; the bayou
"Louisiana, United States, North America",cajun; creole
"Mexico, North America",mexican
"Morocco, Africa",moroccan
"Myanmar, Asia",burma
"Nashville, Tennessee, United States, North America",music city
"New Orleans, Louisiana, United States, North America",big easy; the big easy
"New York, New York, United States, North America",big apple; empire state; n.y.; new yorker; new yorkers; nyc
"Nile River, Africa",the nile
"Norway, Europe",norwegian
"Paris, France, Europe",parisian
"Peru, South America",peruvian
"Philadelphia, Pennsylvania, United States, North America",philly
"Philippines, Asia",filipino
"Poland, Europe",polish
"Rocky Mountains, North America",the rockies
"Russia, Asia",russian
"San Francisco, California, United States, North America",frisco
"Scotland, United Kingdom, Europe",scotsman; scottish
"South Africa, Africa",south african
"Soviet Union, Europe",ussr
"Spain, Europe",spanish
"Suwannee River, Georgia/Florida, United States, North America",swanee; swanee river
"Sweden, Europe",swedish
"Tennessee, United States, North America",tennessean
"Texas, United States, North America",texan
"Thailand, Asia",siam; siamese
"Tibet, Asia",tibetan
"Toronto, Canada, North America",6ix; the 6; the six
"Turkey, Asia",turkish
"United Kingdom, Europe",britain; british; great britain; u.k.; uk
"United States, North America",america; american; americana; stateside; u.s.; u.s.a.; united states of america; us; usa
"Vienna, Austria, Europe",viennese
"Vietnam, Asia",vietnamese
"Yukon, Canada, North America",the yukon
